,1
1,噲 
2,媢 
3,媢嫉 
4,忺 
5,爱 
6,爱不忍释 
7,爱不释手 
8,爱宠 
9,爱戴 
10,爱抚 
11,爱好 
12,爱护 
13,爱怜 
14,爱恋 
15,爱慕 
16,爱上 
17,爱屋及乌 
18,爱惜 
19,安 
20,昂扬 
21,巴 
22,巴不得 
23,巴望 
24,摆好 
25,拜 
26,拜拜 
27,拜服 
28,拜贺 
29,拜谒 
30,褒 
31,褒奖 
32,褒扬 
33,睎 
34,表扬 
35,表彰 
36,并重 
37,补台 
38,不看僧面看佛面 
39,不愧 
40,不胜欣忭 
41,不惜 
42,不厌 
43,睬 
44,采纳 
45,参拜 
46,参谒 
47,侧重 
48,馋 
49,畅快 
50,唱喏 
51,倡 
52,朝拜 
53,朝思暮想 
54,撑台面 
55,撑腰 
56,称 
57,称道 
58,称快 
59,称赏 
60,称颂 
61,称叹 
62,称羡 
63,称谢 
64,称心 
65,称心如意 
66,称心如愿 
67,称许 
68,称誉 
69,称愿 
70,称赞 
71,承 
72,承蒙 
73,承情 
74,承望 
75,承应 
76,骋怀 
77,吃醋 
78,痴 
79,痴恋 
80,痴迷 
81,痴情 
82,痴心不改 
83,痴心妄想 
84,驰念 
85,驰思 
86,崇 
87,崇拜 
88,崇敬 
89,崇尚 
90,崇仰 
91,宠 
92,宠爱 
93,宠幸 
94,酬谢 
95,踌躇满志 
96,出迎 
97,垂爱 
98,垂念 
99,垂青 
100,垂涎 
101,垂涎三尺 
102,垂涎欲滴 
103,春风得意 
104,春风满面 
105,醋意大发 
106,措意 
107,答礼 
108,答谢 
109,答应 
110,打千 
111,大快人心 
112,大喜过望 
113,戴 
114,胆敢 
115,弹冠相庆 
116,当真 
117,当之无愧 
118,倒向 
119,道贺 
120,道谢 
121,得意 
122,得意忘形 
123,点头 
124,点头称是 
125,点头哈腰 
126,电贺 
127,奠祭 
128,吊祭 
129,盯紧 
130,盯住 
131,顶礼 
132,顶礼膜拜 
133,抖 
134,睹物思人 
135,妒 
136,妒恨 
137,妒火中烧 
138,妒嫉 
139,妒忌 
140,妒羡 
141,多留个心眼儿 
142,堕入爱河 
143,堕入情网 
144,额手称庆 
145,反哺 
146,放胆 
147,放在心上 
148,费心 
149,封禅 
150,疯魔 
151,奉 
152,奉若神明 
153,奉迎 
154,俯允 
155,甘 
156,甘心 
157,甘心情愿 
158,甘愿 
159,感 
160,感恩 
161,感恩戴德 
162,感激 
163,感激不尽 
164,感激涕零 
165,感同身受 
166,感谢 
167,感兴趣 
168,敢 
169,高看 
170,高山仰止 
171,高兴 
172,歌颂 
173,给 ... 留面子 
174,给脸 
175,给面子 
176,恭而敬之 
177,恭贺 
178,恭敬 
179,恭维 
180,恭喜 
181,恭祝 
182,供奉 
183,公祭 
184,拱手 
185,顾 
186,顾及 
187,顾盼自雄 
188,顾全 
189,顾惜 
190,挂牵 
191,关爱 
192,关怀 
193,关怀备至 
194,关切 
195,关心 
196,关照 
197,关注 
198,管 
199,贯注 
200,鬼迷心窍 
201,跪拜 
202,跪叩 
203,过 
204,过奖 
205,过问 
206,过誉 
207,哈 
208,酣畅 
209,豪情满怀 
210,好 
211,好奇 
212,好情 
213,喝彩 
214,合掌 
215,贺 
216,狠抓 
217,恨不得 
218,恨不能 
219,横心 
220,厚望 
221,怀 
222,怀恋 
223,怀念 
224,怀想 
225,欢 
226,欢畅 
227,欢欢喜喜 
228,欢快 
229,欢乐 
230,欢闹 
231,欢声雷动 
232,欢腾 
233,欢天喜地 
234,欢慰 
235,欢喜 
236,欢欣 
237,欢欣鼓舞 
238,欢迎 
239,欢愉 
240,欢娱 
241,欢悦 
242,欢忭 
243,还礼 
244,回敬 
245,回礼 
246,魂牵梦系 
247,魂牵梦萦 
248,豁朗 
